epoch,loss,mIoU,pixel_acc,class_0_iou,class_1_iou,class_2_iou,class_3_iou,class_4_iou,class_5_iou,class_6_iou,class_7_iou,class_8_iou
1,48.72203614848001,0.1602974683046341,0.6969178292410714,0.6226091980934143,0.5050796270370483,0.3142785429954529,0.000185365293873474,6.260780196498672e-07,0.0005239438032731414,0.0,0.0,0.0
1,0.43765521458217077,0.2387024611234665,0.8335082310267856,0.7837130427360535,0.68461674451828,0.5842674374580383,0.005102136172354221,0.007265747059136629,0.0006428838241845369,0.0032595545053482056,0.07945458590984344,0.0
2,0.22510123106411525,0.3753415644168854,0.9177661132812499,0.8927772641181946,0.830660879611969,0.7690348029136658,0.1398172527551651,0.12742190062999725,0.08631078898906708,0.12811578810214996,0.40393537282943726,0.0
3,0.15553827360698155,0.4760567247867584,0.9443021065848213,0.9286260604858398,0.8818445205688477,0.8370756506919861,0.31113263964653015,0.2894176244735718,0.24564707279205322,0.24482375383377075,0.5448205471038818,0.0011228668736293912
4,0.12003024797780174,0.6113795638084412,0.9573782784598213,0.9463343620300293,0.9063753485679626,0.8680923581123352,0.522476077079773,0.5487343668937683,0.49341118335723877,0.49832379817962646,0.6181138157844543,0.1005546897649765
5,0.10297557657105583,0.6707627177238464,0.9635160435267855,0.9548315405845642,0.9191182255744934,0.8826723694801331,0.5738317370414734,0.6054173707962036,0.568549633026123,0.5724316239356995,0.6584777235984802,0.30153438448905945
6,0.09123148764882769,0.7034155130386353,0.9675613141741071,0.9603142142295837,0.9277121424674988,0.8934546709060669,0.5989853143692017,0.6298749446868896,0.6054562330245972,0.6077040433883667,0.6871898770332336,0.42004793882369995
7,0.08444496344668524,0.7208101153373718,0.9698436104910713,0.9634782075881958,0.9326744079589844,0.8990933895111084,0.6122098565101624,0.6448655128479004,0.6241269111633301,0.6288180351257324,0.7022528052330017,0.47977179288864136
8,0.07847237690005984,0.7371638417243958,0.9721529017857141,0.9666338562965393,0.9377447366714478,0.9051339030265808,0.6217675805091858,0.6554983854293823,0.6402302384376526,0.6470479965209961,0.7201367020606995,0.5402812361717224
9,0.07398574932983944,0.7468908429145813,0.9737071010044641,0.9689315557479858,0.9411892294883728,0.9084203243255615,0.6294928193092346,0.6642265915870667,0.6518311500549316,0.6566508412361145,0.7310492396354675,0.5702255964279175
10,0.07104066392353603,0.7540877461433411,0.9745662667410713,0.9700911641120911,0.9430542588233948,0.9106099605560303,0.6341943740844727,0.6699860095977783,0.6622664332389832,0.6665048003196716,0.742624044418335,0.5874590873718262
11,0.06739439901283809,0.7623158097267151,0.9759208286830355,0.9720176458358765,0.9460717439651489,0.9139232635498047,0.6414215564727783,0.6765137314796448,0.6717978119850159,0.6753513216972351,0.7518265843391418,0.6119190454483032
12,0.06640604920898165,0.7670468688011169,0.9762576729910714,0.9724239706993103,0.9468269348144531,0.9148923754692078,0.6424899697303772,0.6777304410934448,0.6795544624328613,0.6802009344100952,0.7560191750526428,0.6332831382751465
13,0.06100065448454448,0.7764508724212646,0.9780705217633927,0.9752213954925537,0.950917661190033,0.9182986617088318,0.6513981223106384,0.6860248446464539,0.6890056729316711,0.6890233755111694,0.7695227861404419,0.6586448550224304
14,0.06042319363355637,0.7805463075637817,0.9783339843749999,0.9754555225372314,0.9514509439468384,0.9195021390914917,0.6544638872146606,0.6886136531829834,0.6938071250915527,0.6931758522987366,0.7760977149009705,0.6723494529724121
15,0.05638023542506354,0.7842715382575989,0.9797357003348213,0.977825939655304,0.9547284245491028,0.9212403893470764,0.6582762598991394,0.6928179264068604,0.6992502212524414,0.6993892788887024,0.7810719013214111,0.6738437414169312
16,0.05633183345624379,0.7842438220977783,0.9797520926339285,0.9777607917785645,0.9547567963600159,0.9216277599334717,0.6578779816627502,0.6924809813499451,0.7015520334243774,0.7000691890716553,0.7834648489952087,0.6686037182807922
17,0.05084184941223689,0.793428897857666,0.9816739676339284,0.9808875322341919,0.9592038989067078,0.9245683550834656,0.6656859517097473,0.7002249956130981,0.7119283676147461,0.710403323173523,0.7931740880012512,0.694783627986908
18,0.051056744941643306,0.7957409024238586,0.981564732142857,0.9805229902267456,0.958908200263977,0.9251984357833862,0.6659373641014099,0.7007613778114319,0.7151510119438171,0.7109526991844177,0.7953070402145386,0.7089292407035828
19,0.04854762572901589,0.7994793057441711,0.982435825892857,0.9818798899650574,0.9609186053276062,0.9268208742141724,0.6694996356964111,0.704490602016449,0.7200517654418945,0.7164424061775208,0.8008713722229004,0.7143384218215942
20,0.04771335358279092,0.8004726767539978,0.9827252371651785,0.9824239015579224,0.9616190195083618,0.9269254803657532,0.6701112389564514,0.7049573063850403,0.7208189964294434,0.7181779146194458,0.8004041314125061,0.7188161015510559
21,0.045707386791706085,0.8023400902748108,0.9834335937499998,0.983396589756012,0.9632417559623718,0.9288403391838074,0.6734499335289001,0.7092874050140381,0.7250512838363647,0.7211018204689026,0.8071258664131165,0.7095657587051392
22,0.04610881229809352,0.8038206100463867,0.9832078683035713,0.983034610748291,0.9626883864402771,0.9284265637397766,0.6732817888259888,0.7093015909194946,0.7254214882850647,0.7230314016342163,0.8066053986549377,0.7225937247276306
23,0.04217955293399947,0.8099549412727356,0.9846532505580355,0.9852874279022217,0.9660975337028503,0.9311222434043884,0.6778695583343506,0.71382737159729,0.7321133613586426,0.728573203086853,0.8141854405403137,0.7405180335044861
24,0.04153105511409896,0.8117436170578003,0.984883091517857,0.9855931401252747,0.9665999412536621,0.9318020939826965,0.6800050735473633,0.7160568237304688,0.7340558171272278,0.7317658066749573,0.8164280652999878,0.7433863878250122
25,0.04236602376188551,0.8114036917686462,0.9845809151785713,0.984957754611969,0.965863049030304,0.9319840669631958,0.6795514822006226,0.7154625654220581,0.7349007725715637,0.732498288154602,0.8157239556312561,0.7416910529136658
